alert_type,severity,user,ip_address,start_time,end_time,evidence
LARGE_BYTES_OUT,HIGH,eva,172.16.0.8,2025-02-14 11:26:47,2025-02-14 11:26:47,bytes_out=8017828 (z=4.11) from /home
LARGE_BYTES_OUT,HIGH,frank,192.168.1.20,2025-02-14 12:04:39,2025-02-14 12:04:39,bytes_out=10465103 (z=5.43) from /finance
LARGE_BYTES_OUT,HIGH,henry,203.0.113.5,2025-02-14 13:28:44,2025-02-14 13:28:44,bytes_out=6688345 (z=3.39) from /vault
LARGE_BYTES_OUT,HIGH,david,192.168.1.10,2025-02-14 14:24:39,2025-02-14 14:24:39,bytes_out=10894625 (z=5.66) from /files/reports
LARGE_BYTES_OUT,HIGH,henry,172.16.0.8,2025-02-14 14:46:58,2025-02-14 14:46:58,bytes_out=6914992 (z=3.51) from /hr
LARGE_BYTES_OUT,HIGH,grace,198.51.100.77,2025-02-14 16:00:37,2025-02-14 16:00:37,bytes_out=11967759 (z=6.24) from /files/reports
LARGE_BYTES_OUT,HIGH,frank,185.220.101.1,2025-02-14 16:11:53,2025-02-14 16:11:53,bytes_out=8944299 (z=4.61) from /api/v1/token
LARGE_BYTES_OUT,HIGH,charlie,192.168.1.10,2025-02-14 19:20:15,2025-02-14 19:20:15,bytes_out=9022830 (z=4.65) from /admin
LARGE_BYTES_OUT,HIGH,frank,198.51.100.77,2025-02-14 20:21:24,2025-02-14 20:21:24,bytes_out=7239910 (z=3.69) from /finance
LARGE_BYTES_OUT,HIGH,charlie,198.51.100.77,2025-02-14 21:25:47,2025-02-14 21:25:47,bytes_out=11860714 (z=6.18) from /files/reports
LARGE_BYTES_OUT,HIGH,alice,45.33.32.156,2025-02-14 22:18:24,2025-02-14 22:18:24,bytes_out=7604164 (z=3.89) from /vault
LARGE_BYTES_OUT,HIGH,david,104.26.3.2,2025-02-14 23:27:34,2025-02-14 23:27:34,bytes_out=13225354 (z=6.92) from /finance
LARGE_BYTES_OUT,HIGH,alice,192.168.1.10,2025-02-14 23:43:46,2025-02-14 23:43:46,bytes_out=6398245 (z=3.24) from /hr
LARGE_BYTES_OUT,HIGH,bob,10.0.0.5,2025-02-14 23:51:58,2025-02-14 23:51:58,bytes_out=6460624 (z=3.27) from /files/reports
