alert_type,severity,user,ip_address,start_time,end_time,evidence
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 14:34:48,2025-02-14 15:51:20,"New York, US -> Los Angeles, US in 1.28h (~3085 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 15:51:20,2025-02-14 16:19:03,"Los Angeles, US -> New York, US in 0.46h (~8519 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 16:19:03,2025-02-14 16:31:10,"New York, US -> Los Angeles, US in 0.20h (~19487 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 16:48:35,2025-02-14 17:00:13,"Los Angeles, US -> New York, US in 0.19h (~20296 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 17:00:13,2025-02-14 17:01:01,"New York, US -> Los Angeles, US in 0.01h (~295141 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,192.168.1.10,2025-02-14 17:54:11,2025-02-14 19:51:22,"New York, US -> Los Angeles, US in 1.95h (~2015 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 17:54:14,2025-02-14 19:34:28,"New York, US -> Los Angeles, US in 1.67h (~2356 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 19:23:42,2025-02-14 20:08:32,"Los Angeles, US -> New York, US in 0.75h (~5266 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,104.26.3.2,2025-02-14 19:26:50,2025-02-14 19:39:58,"Los Angeles, US -> New York, US in 0.22h (~17978 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,192.168.1.10,2025-02-14 19:39:58,2025-02-14 20:36:17,"New York, US -> Los Angeles, US in 0.94h (~4193 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,104.26.3.2,2025-02-14 19:51:22,2025-02-14 20:04:15,"Los Angeles, US -> New York, US in 0.21h (~18327 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,104.26.3.2,2025-02-14 19:51:51,2025-02-14 20:02:12,"Los Angeles, US -> New York, US in 0.17h (~22813 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 20:02:12,2025-02-14 20:39:24,"New York, US -> Los Angeles, US in 0.62h (~6347 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,192.168.1.10,2025-02-14 20:04:15,2025-02-14 20:26:03,"New York, US -> Los Angeles, US in 0.36h (~10831 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,104.26.3.2,2025-02-14 20:36:17,2025-02-14 21:01:14,"Los Angeles, US -> New York, US in 0.42h (~9463 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,104.26.3.2,2025-02-14 20:39:24,2025-02-14 20:58:49,"Los Angeles, US -> New York, US in 0.32h (~12160 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 20:42:11,2025-02-14 22:28:51,"New York, US -> Los Angeles, US in 1.78h (~2214 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,192.168.1.10,2025-02-14 21:01:14,2025-02-14 21:25:10,"New York, US -> Los Angeles, US in 0.40h (~9865 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,104.26.3.2,2025-02-14 21:25:10,2025-02-14 22:04:17,"Los Angeles, US -> New York, US in 0.65h (~6036 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 21:33:00,2025-02-14 22:46:27,"New York, US -> Los Angeles, US in 1.22h (~3215 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,192.168.1.10,2025-02-14 22:04:17,2025-02-14 22:10:40,"New York, US -> Los Angeles, US in 0.11h (~36989 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,104.26.3.2,2025-02-14 22:10:40,2025-02-14 22:49:09,"Los Angeles, US -> New York, US in 0.64h (~6135 km/h)"
